series_id,content,frequency,unit,series_type
A84423136R,> Unemployment rate looked for full-time work ;  Persons ;,Month,Percent,Trend
A84423052F,> Unemployment rate looked for full-time work ;  Persons ;.1,Month,Percent,Seasonally Adjusted
A84423094C,> Unemployment rate looked for full-time work ;  Persons ;.2,Month,Percent,Original
A84423122A,> Unemployment rate looked for full-time work ;  > Males ;,Month,Percent,Trend
A84423038K,> Unemployment rate looked for full-time work ;  > Males ;.1,Month,Percent,Seasonally Adjusted
A84423080R,> Unemployment rate looked for full-time work ;  > Males ;.2,Month,Percent,Original
A84423150K,> Unemployment rate looked for full-time work ;  > Females ;,Month,Percent,Trend
A84423066V,> Unemployment rate looked for full-time work ;  > Females ;.1,Month,Percent,Seasonally Adjusted
A84423108F,> Unemployment rate looked for full-time work ;  > Females ;.2,Month,Percent,Original
A84423137T,> Unemployment rate looked for only part-time work ;  Persons ;,Month,Percent,Trend
A84423053J,> Unemployment rate looked for only part-time work ;  Persons ;.1,Month,Percent,Seasonally Adjusted
A84423095F,> Unemployment rate looked for only part-time work ;  Persons ;.2,Month,Percent,Original
A84423123C,> Unemployment rate looked for only part-time work ;  > Males ;,Month,Percent,Trend
A84423039L,> Unemployment rate looked for only part-time work ;  > Males ;.1,Month,Percent,Seasonally Adjusted
A84423081T,> Unemployment rate looked for only part-time work ;  > Males ;.2,Month,Percent,Original
A84423151L,> Unemployment rate looked for only part-time work ;  > Females ;,Month,Percent,Trend
A84423067W,> Unemployment rate looked for only part-time work ;  > Females ;.1,Month,Percent,Seasonally Adjusted
A84423109J,> Unemployment rate looked for only part-time work ;  > Females ;.2,Month,Percent,Original
A84423131C,Labour force total ;  Persons ;,Month,000,Trend
A84423047L,Labour force total ;  Persons ;.1,Month,000,Seasonally Adjusted
A84423089K,Labour force total ;  Persons ;.2,Month,000,Original
A84423117J,Labour force total ;  > Males ;,Month,000,Trend
A84423033X,Labour force total ;  > Males ;.1,Month,000,Seasonally Adjusted
A84423075W,Labour force total ;  > Males ;.2,Month,000,Original
A84423145T,Labour force total ;  > Females ;,Month,000,Trend
A84423061J,Labour force total ;  > Females ;.1,Month,000,Seasonally Adjusted
A84423103V,Labour force total ;  > Females ;.2,Month,000,Original
A84423135L,Participation rate ;  Persons ;,Month,Percent,Trend
A84423051C,Participation rate ;  Persons ;.1,Month,Percent,Seasonally Adjusted
A84423093A,Participation rate ;  Persons ;.2,Month,Percent,Original
A84423121X,Participation rate ;  > Males ;,Month,Percent,Trend
A84423037J,Participation rate ;  > Males ;.1,Month,Percent,Seasonally Adjusted
A84423079F,Participation rate ;  > Males ;.2,Month,Percent,Original
A84423149A,Participation rate ;  > Females ;,Month,Percent,Trend
A84423065T,Participation rate ;  > Females ;.1,Month,Percent,Seasonally Adjusted
A84423107C,Participation rate ;  > Females ;.2,Month,Percent,Original
A84423090V,Not in the labour force (NILF) ;  Persons ;,Month,000,Original
A84423076X,Not in the labour force (NILF) ;  > Males ;,Month,000,Original
A84423104W,Not in the labour force (NILF) ;  > Females ;,Month,000,Original
A84423091W,Civilian population aged 15 years and over ;  Persons ;,Month,000,Original
A84423077A,Civilian population aged 15 years and over ;  > Males ;,Month,000,Original
A84423105X,Civilian population aged 15 years and over ;  > Females ;,Month,000,Original
